Ward-Code,Ward-Name,Townsend01,Quintiles
00AAFA,Aldersgate,1.63,4
00AAFE,Bishopsgate,,
00AAFQ,Cripplegate,5.24,5
00AAFS,Farringdon Within,,
00AAFT,Farringdon Without,7.75,5
00AAFX,Portsoken,13.44,5
00AAFY,Queenhithe,3.74,5
00AAFZ,Tower,7.10,5
00AAGB,Walbrook,,
00ABFX,Abbey,9.36,5
00ABFY,Alibon,4.87,5
00ABFZ,Becontree,5.06,5
00ABGA,Chadwell Heath,3.57,5
00ABGB,Eastbrook,1.22,4
00ABGC,Eastbury,4.78,5
00ABGD,Gascoigne,11.79,5
00ABGE,Goresbrook,5.27,5
00ABGF,Heath,6.22,5
00ABGG,Longbridge,-0.05,4
00ABGH,Mayesbrook,4.78,5
00ABGJ,Parsloes,4.98,5
00ABGK,River,3.51,5
00ABGL,Thames,7.24,5
00ABGM,Valence,4.29,5
00ABGN,Village,5.10,5
00ABGP,Whalebone,0.51,4
00ACFX,Brunswick Park,-0.10,4
00ACFY,Burnt Oak,7.78,5
00ACFZ,Childs Hill,4.59,5
00ACGA,Colindale,7.91,5
00ACGB,Coppetts,2.11,4
00ACGC,East Barnet,0.00,4
00ACGD,East Finchley,3.17,5
00ACGE,Edgware,1.57,4
00ACGF,Finchley Church End,0.59,4
00ACGG,Garden Suburb,-0.29,3
00ACGH,Golders Green,4.47,5
00ACGJ,Hale,1.09,4
00ACGK,Hendon,2.62,5
00ACGL,High Barnet,-1.17,3
00ACGM,Mill Hill,0.19,4
00ACGN,Oakleigh,-0.70,3
00ACGP,Totteridge,0.06,4
00ACGQ,Underhill,1.85,4
00ACGR,West Finchley,2.02,4
00ACGS,West Hendon,4.72,5
00ACGT,Woodhouse,2.49,5
00ADGA,Barnehurst,-1.62,3
00ADGB,Belvedere,1.14,4
00ADGC,Blackfen and Lamorbey,-2.45,2
00ADGD,Blendon and Penhill,-2.90,1
00ADGE,Brampton,-2.32,2
00ADGF,Christchurch,-1.59,3
00ADGG,Colyers,1.58,4
00ADGH,Crayford,0.55,4
00ADGJ,Cray Meadows,0.10,4
00ADGK,Danson Park,-1.28,3
00ADGL,East Wickham,-1.20,3
00ADGM,Erith,1.47,4
00ADGN,Falconwood and Welling,-2.36,2
00ADGP,Lesnes Abbey,1.47,4
00ADGQ,Longlands,-1.57,3
00ADGR,North End,3.58,5
00ADGS,Northumberland Heath,-1.13,3
00ADGT,St Mary's,-2.91,1
00ADGU,St Michael's,-2.05,2
00ADGW,Sidcup,-1.48,3
00ADGX,Thamesmead East,5.46,5
00AEGJ,Alperton,9.43,5
00AEGK,Barnhill,6.11,5
00AEGL,Brondesbury Park,6.18,5
00AEGM,Dollis Hill,6.98,5
00AEGN,Dudden Hill,7.62,5
00AEGP,Fryent,4.71,5
00AEGQ,Harlesden,12.50,5
00AEGR,Kensal Green,6.86,5
00AEGS,Kenton,1.58,4
00AEGT,Kilburn,11.39,5
00AEGU,Mapesbury,7.87,5
00AEGW,Northwick Park,2.20,5
00AEGX,Preston,4.48,5
00AEGY,Queens Park,6.09,5
00AEGZ,Queensbury,5.16,5
00AEHA,Stonebridge,15.61,5
00AEHB,Sudbury,7.40,5
00AEHC,Tokyngton,6.36,5
00AEHD,Welsh Harp,6.07,5
00AEHE,Wembley Central,9.81,5
00AEHF,Willesden Green,10.98,5
00AFGD,Bickley,-2.55,2
00AFGE,Biggin Hill,-3.38,1
00AFGF,Bromley Common and Keston,-0.98,3
00AFGG,Bromley Town,-0.30,3
00AFGH,Chelsfield and Pratts Bottom,-3.02,1
00AFGJ,Chislehurst,-2.23,2
00AFGK,Clock House,0.22,4
00AFGL,Copers Cope,-0.22,4
00AFGM,Cray Valley East,0.63,4
00AFGN,Cray Valley West,1.43,4
00AFGP,Crystal Palace,5.70,5
00AFGQ,Darwin,-2.91,1
00AFGR,Farnborough and Crofton,-2.50,2
00AFGS,Hayes and Coney Hall,-2.95,1
00AFGT,Kelsey and Eden Park,-1.65,3
00AFGU,Mottingham and Chislehurst North,2.45,5
00AFGW,Orpington,-0.82,3
00AFGX,Penge and Cator,4.07,5
00AFGY,Petts Wood and Knoll,-3.50,1
00AFGZ,Plaistow and Sundridge,0.04,4
00AFHA,Shortlands,-2.34,2
00AFHB,West Wickham,-2.73,1
00AGGD,Belsize,6.58,5
00AGGE,Bloomsbury,10.16,5
00AGGF,Camden Town with Primrose Hill,8.74,5
00AGGG,Cantelowes,9.40,5
00AGGH,Fortune Green,6.44,5
00AGGJ,Frognal and Fitzjohns,4.27,5
00AGGK,Gospel Oak,9.15,5
00AGGL,Hampstead Town,3.06,5
00AGGM,Haverstock,10.89,5
00AGGN,Highgate,5.36,5
00AGGP,Holborn and Covent Garden,11.50,5
00AGGQ,Kentish Town,8.34,5
00AGGR,Kilburn,10.52,5
00AGGS,King's Cross,14.81,5
00AGGT,Regent's Park,13.23,5
00AGGU,St Pancras and Somers Town,16.21,5
00AGGW,Swiss Cottage,5.88,5
00AGGX,West Hampstead,7.08,5
00AHGE,Addiscombe,2.34,5
00AHGF,Ashburton,0.98,4
00AHGG,Bensham Manor,4.57,5
00AHGH,Broad Green,6.33,5
00AHGJ,Coulsdon East,-1.63,3
00AHGK,Coulsdon West,-2.38,2
00AHGL,Croham,0.53,4
00AHGM,Fairfield,3.77,5
00AHGN,Fieldway,8.73,5
00AHGP,Heathfield,-1.46,3
00AHGQ,Kenley,-1.55,3
00AHGR,New Addington,4.38,5
00AHGS,Norbury,2.24,5
00AHGT,Purley,-1.15,3
00AHGU,Sanderstead,-2.99,1
00AHGW,Selhurst,5.97,5
00AHGX,Selsdon and Ballards,-3.54,1
00AHGY,Shirley,0.40,4
00AHGZ,South Norwood,3.84,5
00AHHA,Thornton Heath,3.49,5
00AHHB,Upper Norwood,2.75,5
00AHHC,Waddon,2.80,5
00AHHD,West Thornton,5.64,5
00AHHE,Woodside,3.06,5
00AJGC,Acton Central,5.65,5
00AJGD,Cleveland,4.41,5
00AJGE,Dormers Wells,10.32,5
00AJGF,Ealing Broadway,3.09,5
00AJGG,Ealing Common,3.46,5
00AJGH,East Acton,6.83,5
00AJGJ,Elthorne,3.60,5
00AJGK,Greenford Broadway,4.76,5
00AJGL,Greenford Green,2.16,4
00AJGM,Hanger Hill,1.45,4
00AJGN,Hobbayne,3.59,5
00AJGP,Lady Margaret,5.78,5
00AJGQ,Northfield,0.57,4
00AJGR,North Greenford,2.22,5
00AJGS,Northolt Mandeville,4.27,5
00AJGT,Northolt West End,5.78,5
00AJGU,Norwood Green,8.79,5
00AJGW,Perivale,3.15,5
00AJGX,South Acton,7.50,5
00AJGY,Southall Broadway,13.11,5
00AJGZ,Southall Green,10.21,5
00AJHA,Southfield,2.05,4
00AJHB,Walpole,1.86,4
00AKGL,Bowes,3.67,5
00AKGM,Bush Hill Park,-1.17,3
00AKGN,Chase,1.82,4
00AKGP,Cockfosters,0.32,4
00AKGQ,Edmonton Green,10.84,5
00AKGR,Enfield Highway,4.00,5
00AKGS,Enfield Lock,2.61,5
00AKGT,Grange,-1.93,2
00AKGU,Haselbury,5.75,5
00AKGW,Highlands,-1.11,3
00AKGX,Jubilee,3.79,5
00AKGY,Lower Edmonton,5.82,5
00AKGZ,Palmers Green,1.71,4
00AKHA,Ponders End,5.69,5
00AKHB,Southbury,3.32,5
00AKHC,Southgate,0.45,4
00AKHD,Southgate Green,1.74,4
00AKHE,Town,-1.23,3
00AKHF,Turkey Street,2.90,5
00AKHG,Upper Edmonton,8.03,5
00AKHH,Winchmore Hill,-0.24,4
00ALGP,Abbey Wood,6.20,5
00ALGQ,Blackheath Westcombe,3.25,5
00ALGR,Charlton,6.44,5
00ALGS,Coldharbour and New Eltham,0.81,4
00ALGT,Eltham North,0.35,4
00ALGU,Eltham South,1.66,4
00ALGW,Eltham West,8.56,5
00ALGX,Glyndon,9.25,5
00ALGY,Greenwich West,6.38,5
00ALGZ,Kidbrooke with Hornfair,4.51,5
00ALHA,Middle Park and Sutcliffe,3.95,5
00ALHB,Peninsula,5.70,5
00ALHC,Plumstead,5.35,5
00ALHD,Shooters Hill,2.04,4
00ALHE,Thamesmead Moorings,6.96,5
00ALHF,Woolwich Common,10.90,5
00ALHG,Woolwich Riverside,12.50,5
00AMGA,Brownswood,11.63,5
00AMGB,Cazenove,13.54,5
00AMGC,Chatham,13.07,5
00AMGD,Clissold,8.74,5
00AMGE,Dalston,11.76,5
00AMGF,De Beauvoir,12.22,5
00AMGG,Hackney Central,13.03,5
00AMGH,Hackney Downs,11.40,5
00AMGJ,Haggerston,14.70,5
00AMGK,Hoxton,13.43,5
00AMGL,King's Park,12.53,5
00AMGM,Leabridge,10.02,5
00AMGN,Lordship,11.08,5
00AMGP,New River,15.16,5
00AMGQ,Queensbridge,12.73,5
00AMGR,Springfield,15.44,5
00AMGS,Stoke Newington Central,9.61,5
00AMGT,Victoria,10.91,5
00AMGU,Wick,12.16,5
00ANGA,Addison,7.59,5
00ANGB,Askew,7.98,5
00ANGC,Avonmore and Brook Green,7.20,5
00ANGD,College Park and Old Oak,10.47,5
00ANGE,Fulham Broadway,8.58,5
00ANGF,Fulham Reach,6.47,5
00ANGG,Hammersmith Broadway,9.06,5
00ANGH,Munster,4.31,5
00ANGJ,North End,8.58,5
00ANGK,Palace Riverside,2.05,4
00ANGL,Parsons Green and Walham,3.86,5
00ANGM,Ravenscourt Park,5.55,5
00ANGN,Sands End,5.92,5
00ANGP,Shepherd's Bush Green,9.65,5
00ANGQ,Town,5.89,5
00ANGR,Wormholt and White City,11.68,5
00APGA,Alexandra,1.17,4
00APGB,Bounds Green,7.78,5
00APGC,Bruce Grove,10.47,5
00APGD,Crouch End,3.06,5
00APGE,Fortis Green,2.53,5
00APGF,Harringay,7.73,5
00APGG,Highgate,3.05,5
00APGH,Hornsey,6.94,5
00APGJ,Muswell Hill,2.24,5
00APGK,Noel Park,10.72,5
00APGL,Northumberland Park,14.73,5
00APGM,St Ann's,9.86,5
00APGN,Seven Sisters,11.64,5
00APGP,Stroud Green,5.76,5
00APGQ,Tottenham Green,13.22,5
00APGR,Tottenham Hale,12.39,5
00APGS,West Green,11.29,5
00APGT,White Hart Lane,12.19,5
00APGU,Woodside,8.67,5
00AQFY,Belmont,-0.85,3
00AQFZ,Canons,0.04,4
00AQGA,Edgware,3.34,5
00AQGB,Greenhill,4.06,5
00AQGC,Harrow on the Hill,2.61,5
00AQGD,Harrow Weald,0.72,4
00AQGE,Hatch End,-0.93,3
00AQGF,Headstone North,-1.64,3
00AQGG,Headstone South,1.05,4
00AQGH,Kenton East,4.63,5
00AQGJ,Kenton West,1.20,4
00AQGK,Marlborough,2.32,5
00AQGL,Pinner,0.32,4
00AQGM,Pinner South,-1.94,2
00AQGN,Queensbury,3.48,5
00AQGP,Rayners Lane,0.47,4
00AQGQ,Roxbourne,5.90,5
00AQGR,Roxeth,3.56,5
00AQGS,Stanmore Park,-0.25,4
00AQGT,Wealdstone,2.49,5
00AQGU,West Harrow,1.77,4
00ARGC,Brooklands,0.26,4
00ARGD,Cranham,-2.74,1
00ARGE,Elm Park,-0.54,3
00ARGF,Emerson Park,-3.13,1
00ARGG,Gooshays,4.60,5
00ARGH,Hacton,-2.25,2
00ARGJ,Harold Wood,-0.41,3
00ARGK,Havering Park,0.10,4
00ARGL,Heaton,3.10,5
00ARGM,Hylands,-2.19,2
00ARGN,Mawneys,-1.18,3
00ARGP,Pettits,-2.49,2
00ARGQ,Rainham and Wennington,-1.03,3
00ARGR,Romford Town,0.17,4
00ARGS,St Andrew's,-0.84,3
00ARGT,South Hornchurch,0.44,4
00ARGU,Squirrel's Heath,-1.75,2
00ARGW,Upminster,-3.27,1
00ASGG,Barnhill,4.27,5
00ASGH,Botwell,3.88,5
00ASGJ,Brunel,1.19,4
00ASGK,Cavendish,-1.48,3
00ASGL,Charville,-0.10,4
00ASGM,Eastcote and East Ruislip,-2.71,1
00ASGN,Harefield,-0.11,4
00ASGP,Heathrow Villages,2.27,5
00ASGQ,Hillingdon East,0.12,4
00ASGR,Ickenham,-2.97,1
00ASGS,Manor,-1.97,2
00ASGT,Northwood,0.01,4
00ASGU,Northwood Hills,-0.11,4
00ASGW,Pinkwell,3.83,5
00ASGX,South Ruislip,-0.58,3
00ASGY,Townfield,4.72,5
00ASGZ,Uxbridge North,-0.69,3
00ASHA,Uxbridge South,2.13,4
00ASHB,West Drayton,1.60,4
00ASHC,West Ruislip,-0.75,3
00ASHD,Yeading,3.80,5
00ASHE,Yiewsley,2.02,4
00ATFY,Bedfont,2.61,5
00ATFZ,Brentford,5.45,5
00ATGA,Chiswick Homefields,1.51,4
00ATGB,Chiswick Riverside,2.17,4
00ATGC,Cranford,7.60,5
00ATGD,Feltham North,1.16,4
00ATGE,Feltham West,2.39,5
00ATGF,Hanworth,4.34,5
00ATGG,Hanworth Park,1.18,4
00ATGH,Heston Central,5.00,5
00ATGJ,Heston East,4.62,5
00ATGK,Heston West,7.58,5
00ATGL,Hounslow Central,5.30,5
00ATGM,Hounslow Heath,5.82,5
00ATGN,Hounslow South,-0.18,4
00ATGP,Hounslow West,6.08,5
00ATGQ,Isleworth,5.05,5
00ATGR,Osterley and Spring Grove,0.10,4
00ATGS,Syon,3.81,5
00ATGT,Turnham Green,2.72,5
00AUFX,Barnsbury,8.52,5
00AUFY,Bunhill,11.23,5
00AUFZ,Caledonian,10.62,5
00AUGA,Canonbury,9.04,5
00AUGB,Clerkenwell,8.91,5
00AUGC,Finsbury Park,11.34,5
00AUGD,Highbury East,6.44,5
00AUGE,Highbury West,8.82,5
00AUGF,Hillrise,9.23,5
00AUGG,Holloway,10.60,5
00AUGH,Junction,8.65,5
00AUGJ,Mildmay,9.32,5
00AUGK,St George's,8.58,5
00AUGL,St Mary's,8.47,5
00AUGM,St Peter's,8.57,5
00AUGN,Tollington,10.23,5
00AWFY,Abingdon,6.82,5
00AWFZ,Brompton,6.33,5
00AWGA,Campden,3.80,5
00AWGB,Colville,10.82,5
00AWGC,Courtfield,7.83,5
00AWGD,Cremorne,9.21,5
00AWGE,Earl's Court,10.81,5
00AWGF,Golborne,17.96,5
00AWGG,Hans Town,6.37,5
00AWGH,Holland,5.30,5
00AWGJ,Norland,6.69,5
00AWGK,Notting Barns,13.04,5
00AWGL,Pembridge,7.19,5
00AWGM,Queen's Gate,5.47,5
00AWGN,Redcliffe,4.77,5
00AWGP,Royal Hospital,3.95,5
00AWGQ,St Charles,12.53,5
00AWGR,Stanley,3.40,5
00AXFX,Alexandra,-1.44,3
00AXFY,Berrylands,1.53,4
00AXFZ,Beverley,0.89,4
00AXGA,Canbury,-0.06,4
00AXGB,Chessington North and Hook,-0.51,3
00AXGC,Chessington South,-1.30,3
00AXGD,Coombe Hill,0.61,4
00AXGE,Coombe Vale,-0.29,3
00AXGF,Grove,1.32,4
00AXGG,Norbiton,4.20,5
00AXGH,Old Malden,-1.24,3
00AXGJ,St James,-0.63,3
00AXGK,St Mark's,1.17,4
00AXGL,Surbiton Hill,0.57,4
00AXGM,Tolworth and Hook Rise,0.01,4
00AXGN,Tudor,-1.73,2
00AYFZ,Bishop's,9.89,5
00AYGA,Brixton Hill,8.28,5
00AYGB,Clapham Common,4.88,5
00AYGC,Clapham Town,7.44,5
00AYGD,Coldharbour,13.43,5
00AYGE,Ferndale,9.98,5
00AYGF,Gipsy Hill,6.96,5
00AYGG,Herne Hill,7.59,5
00AYGH,Knight's Hill,6.61,5
00AYGJ,Larkhall,10.70,5
00AYGK,Oval,9.80,5
00AYGL,Prince's,10.33,5
00AYGM,St Leonard's,5.61,5
00AYGN,Stockwell,12.27,5
00AYGP,Streatham Hill,6.45,5
00AYGQ,Streatham South,4.82,5
00AYGR,Streatham Wells,6.55,5
00AYGS,Thornton,7.61,5
00AYGT,Thurlow Park,4.50,5
00AYGU,Tulse Hill,10.18,5
00AYGW,Vassall,11.78,5
00AZGD,Bellingham,6.87,5
00AZGE,Blackheath,4.77,5
00AZGF,Brockley,8.63,5
00AZGG,Catford South,1.64,4
00AZGH,Crofton Park,3.53,5
00AZGJ,Downham,5.40,5
00AZGK,Evelyn,15.19,5
00AZGL,Forest Hill,5.47,5
00AZGM,Grove Park,2.72,5
00AZGN,Ladywell,4.93,5
00AZGP,Lee Green,2.87,5
00AZGQ,Lewisham Central,6.85,5
00AZGR,New Cross,12.50,5
00AZGS,Perry Vale,5.01,5
00AZGT,Rushey Green,6.56,5
00AZGU,Sydenham,6.36,5
00AZGW,Telegraph Hill,8.71,5
00AZGX,Whitefoot,4.92,5
00BAFX,Abbey,3.09,5
00BAFY,Cannon Hill,-0.84,3
00BAFZ,Colliers Wood,4.46,5
00BAGA,Cricket Green,6.91,5
00BAGB,Dundonald,0.37,4
00BAGC,Figge's Marsh,5.67,5
00BAGD,Graveney,3.96,5
00BAGE,Hillside,1.39,4
00BAGF,Lavender Fields,4.75,5
00BAGG,Longthornton,2.28,5
00BAGH,Lower Morden,-1.31,3
00BAGJ,Merton Park,-0.29,3
00BAGK,Pollards Hill,3.53,5
00BAGL,Ravensbury,3.36,5
00BAGM,Raynes Park,0.87,4
00BAGN,St Helier,3.14,5
00BAGP,Trinity,1.35,4
00BAGQ,Village,-0.99,3
00BAGR,West Barnes,-0.33,3
00BAGS,Wimbledon Park,0.45,4
00BBGB,Beckton,9.96,5
00BBGC,Boleyn,11.27,5
00BBGD,Canning Town North,13.02,5
00BBGE,Canning Town South,13.00,5
00BBGF,Custom House,9.73,5
00BBGG,East Ham Central,13.32,5
00BBGH,East Ham North,15.32,5
00BBGJ,East Ham South,8.59,5
00BBGK,Forest Gate North,10.18,5
00BBGL,Forest Gate South,13.58,5
00BBGM,Green Street East,17.59,5
00BBGN,Green Street West,16.73,5
00BBGP,Little Ilford,16.05,5
00BBGQ,Manor Park,13.82,5
00BBGR,Plaistow North,13.70,5
00BBGS,Plaistow South,9.56,5
00BBGT,Royal Docks,10.64,5
00BBGU,Stratford and New Town,13.41,5
00BBGW,Wall End,13.49,5
00BBGX,West Ham,12.36,5
00BCFY,Aldborough,1.16,4
00BCFZ,Barkingside,0.80,4
00BCGA,Bridge,0.13,4
00BCGB,Chadwell,-0.22,4
00BCGC,Church End,-0.59,3
00BCGD,Clayhall,-0.30,3
00BCGE,Clementswood,8.96,5
00BCGF,Cranbrook,3.04,5
00BCGG,Fairlop,0.41,4
00BCGH,Fullwell,0.90,4
00BCGJ,Goodmayes,3.33,5
00BCGK,Hainault,1.92,4
00BCGL,Loxford,9.55,5
00BCGM,Mayfield,1.47,4
00BCGN,Monkhams,-2.34,2
00BCGP,Newbury,4.26,5
00BCGQ,Roding,1.61,4
00BCGR,Seven Kings,3.24,5
00BCGS,Snaresbrook,0.51,4
00BCGT,Valentines,6.61,5
00BCGU,Wanstead,-0.30,3
00BDFW,Barnes,0.84,4
00BDFX,East Sheen,-1.37,3
00BDFY,Fulwell and Hampton Hill,-0.62,3
00BDFZ,Ham,1.32,4
00BDGA,Hampton,-1.19,3
00BDGB,Hampton North,0.05,4
00BDGC,Hampton Wick,0.05,4
00BDGD,Heathfield,0.44,4
00BDGE,Kew,-0.10,4
00BDGF,Mortlake and Barnes Common,0.87,4
00BDGG,North Richmond,0.93,4
00BDGH,St Margarets and North Twickenham,-1.32,3
00BDGJ,South Richmond,1.23,4
00BDGK,South Twickenham,-1.17,3
00BDGL,Teddington,-0.60,3
00BDGM,Twickenham Riverside,0.23,4
00BDGN,West Twickenham,-0.57,3
00BDGP,Whitton,-1.49,3
00BEGC,Brunswick Park,12.20,5
00BEGD,Camberwell Green,15.09,5
00BEGE,Cathedrals,11.14,5
00BEGF,Chaucer,13.82,5
00BEGG,College,4.57,5
00BEGH,East Dulwich,3.52,5
00BEGJ,East Walworth,14.35,5
00BEGK,Faraday,16.79,5
00BEGL,Grange,11.86,5
00BEGM,Livesey,16.03,5
00BEGN,Newington,12.72,5
00BEGP,Nunhead,10.48,5
00BEGQ,Peckham,17.98,5
00BEGR,Peckham Rye,5.50,5
00BEGS,Riverside,8.71,5
00BEGT,Rotherhithe,8.80,5
00BEGU,South Bermondsey,10.94,5
00BEGW,South Camberwell,8.61,5
00BEGX,Surrey Docks,4.74,5
00BEGY,The Lane,9.18,5
00BEGZ,Village,1.08,4
00BFGC,Beddington North,-1.78,2
00BFGD,Beddington South,2.97,5
00BFGE,Belmont,-1.29,3
00BFGF,Carshalton Central,-1.08,3
00BFGG,Carshalton South and Clockhouse,-1.92,2
00BFGH,Cheam,-2.81,1
00BFGJ,Nonsuch,-2.82,1
00BFGK,St Helier,4.39,5
00BFGL,Stonecot,-2.14,2
00BFGM,Sutton Central,1.89,4
00BFGN,Sutton North,-0.72,3
00BFGP,Sutton South,0.71,4
00BFGQ,Sutton West,-1.17,3
00BFGR,The Wrythe,-0.03,4
00BFGS,Wallington North,-0.59,3
00BFGT,Wallington South,0.20,4
00BFGU,Wandle Valley,2.98,5
00BFGW,Worcester Park,-1.95,2
00BGFW,Bethnal Green North,14.91,5
00BGFX,Bethnal Green South,19.45,5
00BGFY,Blackwall and Cubitt Town,9.15,5
00BGFZ,Bow East,9.68,5
00BGGA,Bow West,8.59,5
00BGGB,Bromley-by-Bow,20.67,5
00BGGC,East India and Lansbury,17.10,5
00BGGD,Limehouse,13.76,5
00BGGE,Mile End and Globe Town,14.40,5
00BGGF,Mile End East,17.97,5
00BGGG,Millwall,7.87,5
00BGGH,St Dunstan's and Stepney Green,18.39,5
00BGGJ,St Katherine's and Wapping,8.73,5
00BGGK,Shadwell,18.40,5
00BGGL,Spitalfields and Banglatown,20.16,5
00BGGM,Weavers,16.55,5
00BGGN,Whitechapel,18.78,5
00BHFX,Cann Hall,8.71,5
00BHFY,Cathall,10.98,5
00BHFZ,Chapel End,2.66,5
00BHGA,Chingford Green,-0.08,4
00BHGB,Endlebury,-0.63,3
00BHGC,Forest,5.60,5
00BHGD,Grove Green,6.88,5
00BHGE,Hale End and Highams Park,0.75,4
00BHGF,Hatch Lane,1.59,4
00BHGG,High Street,7.07,5
00BHGH,Higham Hill,7.45,5
00BHGJ,Hoe Street,7.84,5
00BHGK,Larkswood,0.54,4
00BHGL,Lea Bridge,7.94,5
00BHGM,Leyton,11.82,5
00BHGN,Leytonstone,5.39,5
00BHGP,Markhouse,8.43,5
00BHGQ,Valley,1.65,4
00BHGR,William Morris,6.87,5
00BHGS,Wood Street,6.82,5
00BJFZ,Balham,2.34,5
00BJGA,Bedford,4.19,5
00BJGB,Earlsfield,3.50,5
00BJGC,East Putney,2.62,5
00BJGD,Fairfield,3.26,5
00BJGE,Furzedown,4.53,5
00BJGF,Graveney,6.25,5
00BJGG,Latchmere,9.69,5
00BJGH,Nightingale,3.12,5
00BJGJ,Northcote,1.91,4
00BJGK,Queenstown,8.07,5
00BJGL,Roehampton,7.89,5
00BJGM,St Mary's Park,5.22,5
00BJGN,Shaftesbury,3.36,5
00BJGP,Southfields,2.42,5
00BJGQ,Thamesfield,1.31,4
00BJGR,Tooting,6.30,5
00BJGS,Wandsworth Common,1.04,4
00BJGT,West Hill,5.04,5
00BJGU,West Putney,3.14,5
00BKGA,Abbey Road,4.60,5
00BKGB,Bayswater,6.99,5
00BKGC,Bryanston and Dorset Square,7.63,5
00BKGD,Churchill,10.65,5
00BKGE,Church Street,15.29,5
00BKGF,Harrow Road,11.67,5
00BKGG,Hyde Park,8.19,5
00BKGH,Knightsbridge and Belgravia,3.88,5
00BKGJ,Lancaster Gate,9.60,5
00BKGK,Little Venice,5.58,5
00BKGL,Maida Vale,6.26,5
00BKGM,Marylebone High Street,6.53,5
00BKGN,Queen's Park,13.01,5
00BKGP,Regent's Park,6.85,5
00BKGQ,St James's,8.82,5
00BKGR,Tachbrook,7.99,5
00BKGS,Vincent Square,9.12,5
00BKGT,Warwick,6.71,5
00BKGU,Westbourne,13.26,5
00BKGW,West End,8.02,5
00BLFA,Astley Bridge,-1.21,3
00BLFB,Blackrod,-1.40,3
00BLFC,Bradshaw,-1.67,2
00BLFD,Breightmet,3.19,5
00BLFE,Bromley Cross,-1.93,2
00BLFF,Burnden,4.29,5
00BLFG,Central,11.00,5
00BLFH,Daubhill,3.09,5
00BLFJ,Deane-Cum-Heaton,-0.27,4
00BLFK,Derby,10.12,5
00BLFL,Farnworth,5.00,5
00BLFM,Halliwell,4.23,5
00BLFN,Harper Green,2.80,5
00BLFP,Horwich,-0.29,3
00BLFQ,Hulton Park,-2.83,1
00BLFR,Kearsley,0.27,4
00BLFS,Little Lever,-0.95,3
00BLFT,Smithills,-0.79,3
00BLFU,Tonge,3.58,5
00BLFW,Westhoughton,-0.87,3
00BMFA,Besses,2.14,4
00BMFB,Church,-2.08,2
00BMFC,East,3.56,5
00BMFD,Elton,-1.29,3
00BMFE,Holyrood,-0.81,3
00BMFF,Moorside,1.04,4
00BMFG,Pilkington Park,-0.88,3
00BMFH,Radcliffe Central,0.87,4
00BMFJ,Radcliffe North,-1.02,3
00BMFK,Radcliffe South,1.57,4
00BMFL,Ramsbottom,-1.89,2
00BMFM,Redvales,4.76,5
00BMFN,St. Mary's,0.00,4
00BMFP,Sedgley,0.45,4
00BMFQ,Tottington,-3.13,1
00BMFR,Unsworth,-2.34,2
00BNFA,Ardwick,13.92,5
00BNFB,Baguley,4.32,5
00BNFC,Barlow Moor,5.24,5
00BNFD,Benchill,9.93,5
00BNFE,Beswick and Clayton,9.50,5
00BNFF,Blackley,6.19,5
00BNFG,Bradford,8.79,5
00BNFH,Brooklands,4.24,5
00BNFJ,Burnage,6.04,5
00BNFK,Central,9.00,5
00BNFL,Charlestown,5.34,5
00BNFM,Cheetham,10.96,5
00BNFN,Chorlton,1.71,4
00BNFP,Crumpsall,4.72,5
00BNFQ,Didsbury,-0.38,3
00BNFR,Fallowfield,7.82,5
00BNFS,Gorton North,5.11,5
00BNFT,Gorton South,9.31,5
00BNFU,Harpurhey,8.78,5
00BNFW,Hulme,10.00,5
00BNFX,Levenshulme,4.43,5
00BNFY,Lightbowne,4.48,5
00BNFZ,Longsight,12.44,5
00BNGA,Moss Side,12.70,5
00BNGB,Moston,2.53,5
00BNGC,Newton Heath,7.29,5
00BNGD,Northenden,3.14,5
00BNGE,Old Moat,5.29,5
00BNGF,Rusholme,8.98,5
00BNGG,Sharston,4.39,5
00BNGH,Whalley Range,5.24,5
00BNGJ,Withington,3.96,5
00BNGK,Woodhouse Park,6.53,5
00BPFA,Alexandra,9.51,5
00BPFB,Chadderton Central,-0.41,3
00BPFC,Chadderton North,-0.38,3
00BPFD,Chadderton South,0.96,4
00BPFE,Coldhurst,17.32,5
00BPFF,Crompton,-1.59,3
00BPFG,Failsworth East,-0.15,4
00BPFH,Failsworth West,1.10,4
00BPFJ,Hollinwood,5.90,5
00BPFK,Lees,3.25,5
00BPFL,Royton North,-0.83,3
00BPFM,Royton South,-0.81,3
00BPFN,Saddleworth East,-2.68,1
00BPFP,Saddleworth West,-2.37,2
00BPFQ,St. James,4.48,5
00BPFR,St. Marys,9.32,5
00BPFS,St. Pauls,3.90,5
00BPFT,Shaw,0.21,4
00BPFU,Waterhead,1.10,4
00BPFW,Werneth,12.68,5
00BQFA,Balderstone,3.99,5
00BQFB,Brimrod and Deeplish,5.63,5
00BQFC,Castleton,0.85,4
00BQFD,Central and Falinge,10.90,5
00BQFE,Healey,-0.35,3
00BQFF,Heywood North,2.25,5
00BQFG,Heywood South,1.04,4
00BQFH,Heywood West,3.35,5
00BQFJ,Littleborough,-1.43,3
00BQFK,Middleton Central,5.82,5
00BQFL,Middleton East,1.00,4
00BQFM,Middleton North,1.50,4
00BQFN,Middleton South,-0.65,3
00BQFP,Middleton West,7.08,5
00BQFQ,Milnrow,-0.28,3
00BQFR,Newbold,6.78,5
00BQFS,Norden and Bamford,-3.47,1
