Ward-Code,Ward-Name,Townsend01,Quintiles
24UNGA,Abbey,0.13,4
24UNGB,Alamein,1.40,4
24UNGC,Ampfield and Braishfield,-3.25,1
24UNGD,Amport,-2.64,1
24UNGE,Anna,-2.94,1
24UNGF,Blackwater,-2.93,1
24UNGG,Bourne Valley,-1.80,2
24UNGH,Broughton and Stockbridge,-2.20,2
24UNGJ,Charlton,-3.74,1
24UNGK,Chilworth,-3.50,1
24UNGL,Cupernham,-2.86,1
24UNGM,Dun Valley,-1.78,2
24UNGN,Harewood,-1.20,3
24UNGP,Harroway,-2.14,2
24UNGQ,Kings Somborne and Michelmersh,-2.03,2
24UNGR,Millway,-2.33,2
24UNGS,North Baddesley,-2.71,1
24UNGT,Over Wallop,-1.29,3
24UNGU,Penton Bellinger,-2.00,2
24UNGW,Romsey Extra,-2.73,1
24UNGX,St Mary's,0.92,4
24UNGY,Tadburn,-2.89,1
24UNGZ,Valley Park,-4.45,1
24UNHA,Winton,-2.10,2
24UPGK,Bishops Waltham,-2.26,2
24UPGL,Boarhunt and Southwick,0.55,4
24UPGM,Cheriton and Bishops Sutton,-1.77,2
24UPGN,Colden Common and Twyford,-2.60,2
24UPGP,Compton and Otterbourne,-3.03,1
24UPGQ,Denmead,-3.18,1
24UPGR,Droxford,-2.25,2
24UPGS,Itchen Valley,-1.88,2
24UPGT,Kings Worthy,-2.38,2
24UPGU,Littleton and Harestock,-2.95,1
24UPGW,Olivers Battery and Badger Farm,-3.22,1
24UPGX,Owslebury and Curdridge,-2.91,1
24UPGY,St Barnabas,-1.41,3
24UPGZ,St Bartholomew,1.77,4
24UPHA,St John and All Saints,2.37,5
24UPHB,St Luke,2.48,5
24UPHC,St Michael,-0.06,4
24UPHD,St Paul,-1.31,3
24UPHE,Shedfield,-3.97,1
24UPHF,Sparsholt,-2.52,2
24UPHG,Swanmore and Newtown,-3.37,1
24UPHH,The Alresfords,-2.58,2
24UPHJ,Upper Meon Valley,-2.34,2
24UPHK,Whiteley,-3.65,1
24UPHL,Wickham,-1.18,3
24UPHM,Wonston and Micheldever,-2.40,2
26UBFQ,Broxbourne,-3.76,1
26UBFR,Bury Green,0.34,4
26UBFS,Cheshunt Central,-1.42,3
26UBFT,Cheshunt North,-0.97,3
26UBFU,Flamstead End,-2.31,2
26UBFW,Goffs Oak,-3.46,1
26UBFX,Hoddesdon North,-3.82,1
26UBFY,Hoddesdon Town,-0.32,3
26UBFZ,Rosedale,-0.84,3
26UBGA,Rye Park,-0.90,3
26UBGB,Theobalds,-1.28,3
26UBGC,Waltham Cross,2.29,5
26UBGD,Wormley & Turnford,-0.89,3
26UCGF,Adeyfield East,0.86,4
26UCGG,Adeyfield West,1.18,4
26UCGH,Aldbury and Wigginton,-2.60,2
26UCGJ,Apsley,-1.21,3
26UCGK,Ashridge,-3.26,1
26UCGL,Bennetts End,1.21,4
26UCGM,Berkhamsted Castle,-3.27,1
26UCGN,Berkhamsted East,-1.73,2
26UCGP,Berkhamsted West,-1.38,3
26UCGQ,Bovingdon,-2.98,1
26UCGR,Boxmoor,-2.52,2
26UCGS,Chaulden & Shrubhill,-0.39,3
26UCGT,Corner Hall,-0.33,3
26UCGU,Gadebridge,-0.40,3
26UCGW,Grove Hill,1.16,4
26UCGX,Hemel Hempstead Central,0.13,4
26UCGY,Highfield & St Pauls,2.64,5
26UCGZ,Kings Langley,-2.14,2
26UCHA,Leverstock Green,-2.03,2
26UCHB,Nash Mills,-0.87,3
26UCHC,Northchurch,-1.78,2
26UCHD,Tring Central,-0.95,3
26UCHE,Tring East,-3.26,1
26UCHF,Tring West,-2.35,2
26UCHG,Warners End,0.25,4
26UCHH,Watling,-2.18,2
26UCHJ,Woodhall,-1.01,3
26UDGH,Bishop's Stortford All Saints,-2.51,2
26UDGJ,Bishop's Stortford Central,-0.99,3
26UDGK,Bishop's Stortford Meads,-2.22,2
26UDGL,Bishop's Stortford Silverleys,-4.07,1
26UDGM,Bishop's Stortford South,-4.11,1
26UDGN,Braughing,-2.35,2
26UDGP,Buntingford,-2.79,1
26UDGQ,Datchworth & Aston,-2.66,1
26UDGR,Great Amwell,-1.39,3
26UDGS,Hertford Bengeo,-2.34,2
26UDGT,Hertford Castle,-2.02,2
26UDGU,Hertford Heath,-1.37,3
26UDGW,Hertford Kingsmead,-2.66,1
26UDGX,Hertford Rural North,-3.17,1
26UDGY,Hertford Rural South,-2.56,2
26UDGZ,Hertford Sele,-0.02,4
26UDHA,Hunsdon,-1.73,2
26UDHB,Little Hadham,-2.97,1
26UDHC,Mundens and Cottered,-2.23,2
26UDHD,Much Hadham,-2.16,2
26UDHE,Puckeridge,-2.53,2
26UDHF,Sawbridgeworth,-2.47,2
26UDHG,Stanstead Abbots,-1.54,3
26UDHH,Thundridge & Standon,-2.79,1
26UDHJ,Walkern,-2.21,2
26UDHK,Ware Chadwell,-2.06,2
26UDHL,Ware Christchurch,-1.13,3
26UDHM,Ware St Mary's,-2.92,1
26UDHN,Ware Trinity,-0.92,3
26UDHP,Watton-at-Stone,-2.30,2
26UEFX,Aldenham East,-3.46,1
26UEFY,Aldenham West,-2.02,2
26UEFZ,Borehamwood Brookmeadow,1.03,4
26UEGA,Borehamwood Cowley Hill,3.19,5
26UEGB,Borehamwood Hillside,0.32,4
26UEGC,Borehamwood Kenilworth,0.38,4
26UEGD,Bushey Heath,-2.99,1
26UEGE,Bushey North,-1.28,3
26UEGF,Bushey Park,-2.44,2
26UEGG,Bushey St James,-1.23,3
26UEGH,Elstree,-2.72,1
26UEGJ,Potters Bar Furzefield,-2.31,2
26UEGK,Potters Bar Oakmere,-0.80,3
26UEGL,Potters Bar Parkfield,-2.68,1
26UEGM,Shenley,-1.37,3
26UFGC,Arbury,-2.43,2
26UFGD,Baldock East,-3.57,1
26UFGE,Baldock Town,-0.12,4
26UFGF,Cadwell,-0.52,3
26UFGG,Codicote,-2.05,2
26UFGH,Ermine,-2.36,2
26UFGJ,Graveley & Wymondley,-2.79,1
26UFGK,Hitchin Bearton,0.19,4
26UFGL,Hitchin Highbury,-2.11,2
26UFGM,Hitchin Oughton,2.67,5
26UFGN,Hitchin Priory,-2.35,2
26UFGP,Hitchin Walsworth,-0.07,4
26UFGQ,Hitchwood,-0.90,3
26UFGR,Hoo,-0.89,3
26UFGS,Kimpton,-2.58,2
26UFGT,Knebworth,-1.99,2
26UFGU,Letchworth East,0.78,4
26UFGW,Letchworth Grange,1.39,4
26UFGX,Letchworth South East,0.36,4
26UFGY,Letchworth South West,-1.12,3
26UFGZ,Letchworth Wilbury,1.42,4
26UFHA,Offa,-1.38,3
26UFHB,Royston Heath,-2.11,2
26UFHC,Royston Meridian,-3.09,1
26UFHD,Royston Palace,-1.10,3
26UFHE,Weston and Sandon,-2.49,2
26UGFX,Ashley,-1.50,3
26UGFY,Batchwood,0.55,4
26UGFZ,Clarence,-1.49,3
26UGGA,Colney Heath,-1.53,3
26UGGB,Cunningham,0.09,4
26UGGC,Harpenden East,-1.93,2
